,ar-0,ar-1,ar-2,ar-3,pr-0,pr-1,pr-2,pr-3,class-0-latency,class-1-bw,class-2-bw
0,12,14,8,14,69,96,89,93,1.590643,7829.970121999998,2202.0220772499993
1,4,25,11,11,46,100,63,90,1.614696,8201.202152249993,2056.1087130000005
2,5,42,4,14,99,98,50,74,1.603659,8294.390439250003,1731.0643190000005
3,13,19,7,14,71,93,51,77,1.5906989999999999,7950.2582575,2131.8149582500014
4,7,2,40,3,44,31,84,69,1.600752,3432.052137499998,6180.90271875
5,19,0,19,21,80,43,99,91,1.5834700000000002,4446.549415000001,4652.25934875
6,38,41,19,0,90,83,37,100,1.600719,6930.443046999998,3480.7431710000005
7,19,13,0,57,33,41,21,80,1.584538,4345.988037500001,2433.93659775
8,3,44,29,7,62,100,94,92,1.634617,7164.394856249992,3487.75863825
9,11,7,15,25,42,42,77,91,1.601818,4370.894428999998,4454.774855500003
10,5,24,28,15,38,95,100,92,1.592486,6709.097625000001,3383.204935750002
11,18,12,22,0,97,54,93,41,1.612674,5331.792834,5251.441000749997
12,31,18,28,21,100,91,96,88,1.591952,6276.139022499997,3329.4332035
13,19,15,9,12,98,99,81,65,1.5994009999999999,8397.771122749988,1843.44530125
14,27,37,11,11,92,95,49,70,1.59979,7767.728569250005,2470.017670499999
15,25,17,8,17,99,90,59,95,1.600511,7418.879271749998,2382.6026915000007
16,34,42,5,8,92,100,92,56,1.600723,8416.918515999994,2160.6957915000016
17,1,2,43,16,78,57,96,74,1.59769,5270.799397250006,4429.548979249999
18,6,7,15,22,71,62,78,100,1.571859,5622.682571250004,3777.1224979999997
19,44,24,9,13,90,85,86,32,1.596328,6878.418923749994,3220.555784500001
20,12,17,18,3,71,96,92,47,1.621878,7845.946546750008,3058.767316249998
21,33,29,17,10,61,76,97,45,1.591094,6512.229441249999,3859.8382457499974
22,1,11,51,17,86,85,96,46,1.6244939999999999,5329.362157750004,4427.580834249998
23,16,23,22,19,94,91,96,98,1.572411,6925.512554,2916.948795000002
24,24,14,13,19,99,61,55,83,1.5913119999999998,5468.997955749997,3960.3745932499987
