,pid,class-0-latency,class-1-latency,class-2-latency,class-3-latency,pr-0,pr-1,pr-2,pr-3,ar-0,ar-1,ar-2,ar-3,class-0-bw,class-1-bw,class-2-bw,class-3-bw
0,44214-1642656617,1.590643,3.869768,10.073136,13.176612,69,96,89,93,12,14,8,14,505.743027,7829.970121999998,2202.0220772499993,1670.5000402500002
1,113387-1642651411,1.614696,3.8520849999999998,9.764974,13.297766,46,100,63,90,4,25,11,11,505.7191852499999,8201.202152249993,2056.1087130000005,1417.8395264999988
2,109712-1642664472,1.603659,3.849706,11.461377,13.105803,99,98,50,74,5,42,4,14,505.74183424999984,8294.390439250003,1731.0643190000005,1676.0766525000006
3,80078-1642647487,1.5906989999999999,4.064838,9.787376,12.723797,71,93,51,77,13,19,7,14,505.6989192500001,7950.2582575,2131.8149582500014,1668.9836980000002
4,50482-1642657331,1.600752,11.546458,2.869697,9.354476,44,31,84,69,7,2,40,3,505.65242774999996,3432.052137499998,6180.90271875,1856.6179274999997
5,74440-1642646812,1.5834700000000002,8.709698,4.370559,8.029128,80,43,99,91,19,0,19,21,505.6512352499999,4446.549415000001,4652.25934875,2749.6218692499997
6,27836-1642654717,1.600719,4.48295,7.388352,13.12415,90,83,37,100,38,41,19,0,505.8217042500001,6930.443046999998,3480.7431710000005,1231.6703797500008
7,113833-1642664951,1.584538,8.786392,9.95819,4.025599,33,41,21,80,19,13,0,57,505.68818999999996,4345.988037500001,2433.93659775,4863.860607499999
8,58720-1642658316,1.634617,4.486719,7.295984,17.203176,62,100,94,92,3,44,29,7,505.4163930000002,7164.394856249992,3487.75863825,1012.5505920000002
9,89003-1642661889,1.601818,8.674132,4.647762,7.989213,42,42,77,91,11,7,15,25,505.5916309999999,4370.894428999998,4454.774855500003,2963.063717
10,79432-1642647419,1.592486,4.681817,7.277509,12.152917,38,95,100,92,5,24,28,15,505.65004374999995,6709.097625000001,3383.204935750002,1764.1043659999984
11,89978-1642661970,1.612674,7.184905,3.418267,12.507477,97,54,93,41,18,12,22,0,505.5725570000002,5331.792834,5251.441000749997,865.0231354999997
12,16777-1642666923,1.591952,5.039857,7.363564,10.443231,100,91,96,88,31,18,28,21,505.79547925,6276.139022499997,3329.4332035,2321.1014259999997
13,49995-1642657283,1.5994009999999999,3.909744,10.964306,14.10207,98,99,81,65,19,15,9,12,505.6750772499999,8397.771122749988,1843.44530125,1458.2073665000003
14,100496-1642663337,1.59979,3.796539,8.907417,12.896372,92,95,49,70,27,37,11,11,505.71679975000006,7767.728569250005,2470.017670499999,1503.5367
15,29852-1642654976,1.600511,4.008738,9.304875,11.774375,99,90,59,95,25,17,8,17,505.64527525000005,7418.879271749998,2382.6026915000007,1958.7779050000008
16,105205-1642650444,1.600723,3.827642,10.188215,17.120291,92,100,92,56,34,42,5,8,505.6166637500001,8416.918515999994,2160.6957915000016,1053.49183125
17,51074-1642657445,1.59769,6.543,5.101962,10.598095,78,57,96,74,1,2,43,16,505.77282925000014,5270.799397250006,4429.548979249999,2099.550962249999
18,95372-1642649323,1.571859,5.9319489999999995,6.517776,9.60246,71,62,78,100,6,7,15,22,505.9218395000002,5622.682571250004,3777.1224979999997,2487.5438200000003
19,80265-1642660879,1.596328,4.311145,7.418359,12.544399,90,85,86,32,44,24,9,13,505.7251452500002,6878.418923749994,3220.555784500001,1635.1926312500004
20,92830-1642649021,1.621878,3.919813,7.915768,18.117802,71,96,92,47,12,17,18,3,505.2971842500001,7845.946546750008,3058.767316249998,592.2436725000002
21,21142-1642653959,1.591094,4.891971,6.477187,13.69172,61,76,97,45,33,29,17,10,505.69534300000004,6512.229441249999,3859.8382457499974,1374.5641704999996
22,96646-1642662769,1.6244939999999999,6.917043,4.4827449999999995,10.79227,86,85,96,46,1,11,51,17,505.59163049999995,5329.362157750004,4427.580834249998,2046.0546010000007
23,91996-1642662217,1.572411,4.686436,8.251074,10.938637,94,91,96,98,16,23,22,19,505.83362625000024,6925.512554,2916.948795000002,2103.0366432500005
24,8212-1642652445,1.5913119999999998,5.962358,5.967562,9.582252,99,61,55,83,24,14,13,19,505.8240887500001,5468.997955749997,3960.3745932499987,2453.854084750001
25,55588-1642657940,1.574655,6.05231,6.146729,10.194042,100,62,76,90,24,13,0,19,505.78951749999993,5523.881911,4029.8342702500004,2300.091983
26,29904-1642654978,1.579111,6.000158,7.29193,8.71381,54,83,100,54,7,11,32,27,505.7477945,5710.574387750005,3433.9928615,2789.2065052500006
27,99905-1642663257,1.579676,6.05537,7.031909,8.141356,66,62,73,100,15,17,13,28,505.6738862500002,5514.265299499997,3437.560797000002,2912.435530000003
28,75845-1642647008,1.574031,4.701531,9.733597,9.316523,96,86,98,98,13,8,17,26,505.89680675000005,6752.443312499999,2487.01930175,2640.7611362499983
29,85188-1642648108,1.6131229999999999,3.909994,9.439710999999999,13.949213,59,100,97,61,7,19,13,12,505.5236814999999,8048.626184749995,2162.9118917500004,1480.270621249999
30,85377-1642661435,1.578544,4.785005,8.311322,9.494781,100,75,69,98,24,18,5,24,505.80620750000014,6459.178927000001,2890.458106,2558.0918817499987
31,62365-1642658770,1.6038009999999998,4.061625,10.100356,10.949383,82,94,62,96,14,21,11,20,505.5642137499999,7592.548130250009,1974.0629189999997,2208.9815135000017
32,113334-1642651374,1.594998,3.96549,12.816004,10.705496,95,96,49,94,15,21,1,22,505.7442184999999,7967.410087000001,1287.0633627499997,2422.1670619999995
33,46862-1642656953,1.587348,5.704611,7.985653,8.493137,92,87,71,96,26,14,26,30,505.68103700000006,5693.740845249994,3103.045227750003,3069.331646749998
34,1359-1642665160,1.6163500000000002,4.148122,7.813305,28.329576,47,93,89,81,9,24,16,1,505.52010525000003,7817.488908999998,3346.049784,364.9950030000001
35,8662-1642665964,1.590928,4.073316,9.831403,13.041146,69,100,98,95,5,16,16,14,505.76686800000004,7630.931138500002,2455.585003,1684.569121499999
36,113873-1642651442,1.578088,5.568336,7.090843,9.387858,86,66,97,91,29,22,11,23,505.83958600000005,5783.901214500006,3569.875955999999,2550.7998457499984
37,113294-1642664902,1.581815,8.359782,4.640179,8.28815,64,45,71,78,23,6,31,23,505.8240890000001,4588.377474749997,4475.920202999998,2798.801660250003
38,32878-1642655302,1.603178,5.560013,8.949025,7.394688,32,89,75,100,4,24,23,34,505.65481175000014,5886.530875750004,2789.323330250001,3222.2461694999984
39,89490-1642661933,1.612489,4.122879,7.05769,15.622224,75,99,82,41,35,8,25,7,505.55348325,7258.088589500008,3303.1082160000005,1067.1150692500003
40,112808-1642664834,1.598698,5.458492,7.985721,8.209994,94,67,47,78,39,0,16,28,505.65123625,5665.903091000005,3119.3912045,3075.5412584999995
